,Phase,Time_est,country,Population_est,country_a3,iso3,continent,name,deleteable
0,The first immigration wave,1560,Thailand,2000,THA,THA,Asia,Thailand,0
1,The first immigration wave,1560,Myanmar,30000,MMR,MMR,Asia,Myanmar,0
2,The first immigration wave,1571,Philippines,150,PHL,PHL,Asia,Philippines,0
3,The first immigration wave,1588,Philippines,10000,PHL,PHL,Asia,Philippines,0
4,The first immigration wave,1603,Philippines,25000,PHL,PHL,Asia,Philippines,0
5,The first immigration wave,1609,Indonesia,4000,IDN,IDN,Asia,Indonesia,0
6,The first immigration wave,1619,Indonesia,400,IDN,IDN,Asia,Indonesia,0
7,The first immigration wave,1620,Japan,3000,JPN,JPN,Asia,Japan,0
8,The first immigration wave,1627,Indonesia,3500,IDN,IDN,Asia,Indonesia,0
9,The first immigration wave,1658,Indonesia,5000,IDN,IDN,Asia,Indonesia,0
10,The first immigration wave,1815,Indonesia,52394,IDN,IDN,Asia,Indonesia,0
11,The first immigration wave,1815,Indonesia,94441,IDN,IDN,Asia,Indonesia,0
12,The first immigration wave,1820,India,150000,IND,IND,Asia,India,0
13,The first immigration wave,1821,Thailand,700000,THA,THA,Asia,Thailand,0
14,The first immigration wave,1830,Indonesia,150000,IDN,IDN,Asia,Indonesia,0
15,The first immigration wave,1830,Vietnam,100000,VNM,VNM,Asia,Vietnam,0
16,The first immigration wave,1830,Myanmar,130000,MMR,MMR,Asia,Myanmar,0
17,The first immigration wave,1830,Malaysia ,50000,MYS,MYS,Asia,Malaysia,0
18,The first immigration wave,1856,Indonesia,135749,IDN,IDN,Asia,Indonesia,0
19,The first immigration wave,1856,Indonesia,40806,IDN,IDN,Asia,Indonesia,0
20,"WW1 end, The third immigration wave",1890,United States of America,107475,USA,USA,Americas,United States of America,0
21,The second immigration wave,1900,South America,400000,FLK,FLK,Americas,Falkland Islands (Malvinas),0
22,The second immigration wave,1920,Thailand,1000000,THA,THA,Asia,Thailand,0
23,The second immigration wave,1922,Korea,10000,KOR,KOR,Asia,Republic of Korea,0
24,The second immigration wave,1903,South America,400000,BOL,BOL,Americas,Bolivia,0
25,The second immigration wave,1905,South America,400000,VEN,VEN,Americas,Venezuela,0
26,The second immigration wave,1907,South America,400000,GUF,GUF,Americas,French Guiana,0
27,The second immigration wave,1909,South America,400000,URY,URY,Americas,Uruguay,0
28,The second immigration wave,1911,South America,400000,COL,COL,Americas,Colombia,0
29,The second immigration wave,1913,United States of America,400000,USA,USA,Americas,United States of America,0
30,The second immigration wave,1915,South America,400000,BRA,BRA,Americas,Brazil,0
31,The second immigration wave,1917,South America,400000,ECU,ECU,Americas,Ecuador,0
32,The second immigration wave,1919,South America,400000,SUR,SUR,Americas,Suriname,0
33,The second immigration wave,1921,South America,400000,ARG,ARG,Americas,Argentina,0
34,The second immigration wave,1923,South America,400000,CHL,CHL,Americas,Chile,0
35,The second immigration wave,1925,South America,400000,PER,PER,Americas,Peru,0
36,The second immigration wave,1927,South America,400000,PRY,PRY,Americas,Paraguay,0
37,The second immigration wave,1950,Australia,400000,AUS,AUS,Oceania,Australia,0
38,The second immigration wave,1952,Japan,10000,JPN,JPN,Asia,Japan,0
39,The second immigration wave,1954,South America,400000,GUY,GUY,Americas,Guyana,0
40,The second immigration wave,1956,Philippines,100000,PHL,PHL,Asia,Philippines,0
41,The second immigration wave,1930,Indonesia,1000000,IDN,IDN,Asia,Indonesia,0
42,The second immigration wave,1932,Singapore,1000000,SGP,SGP,Asia,Singapore,0
43,The second immigration wave,1934,Malaysia,1000000,MYS,MYS,Asia,Malaysia,0
44,The second immigration wave,1936,Myanmar,100000,MMR,MMR,Asia,Myanmar,0
45,"WW1 end, The third immigration wave",1937,Singapore,402563,SGP,SGP,Asia,Singapore,0
46,"WW1 end, The third immigration wave",1937,Malaysia,402563,MYS,MYS,Asia,Malaysia,0
47,"WW1 end, The third immigration wave",1937,Thailand,60000,THA,THA,Asia,Thailand,0
48,"WW1 end, The third immigration wave",1940,United States of America,106334,USA,USA,Americas,United States of America,0
54,"WW1 end, The third immigration wave",1932,Aferica,50000,MAR,MAR,Africa,Morocco,0
55,"WW1 end, The third immigration wave",1933,Aferica,50000,GNQ,GNQ,Africa,Equatorial Guinea,0
57,"WW1 end, The third immigration wave",1934,Aferica,50000,DJI,DJI,Africa,Djibouti,0
58,"WW1 end, The third immigration wave",1935,Aferica,50000,ZAF,ZAF,Africa,South Africa,0
59,"WW1 end, The third immigration wave",1936,Aferica,50000,SWZ,SWZ,Africa,Swaziland,0
60,"WW1 end, The third immigration wave",1937,Aferica,50000,NER,NER,Africa,Niger,0
72,"WW1 end, The third immigration wave",1938,Aferica,50000,DZA,DZA,Africa,Algeria,0
73,"WW1 end, The third immigration wave",1939,Aferica,50000,TGO,TGO,Africa,Togo,0
74,"WW1 end, The third immigration wave",1940,Aferica,50000,CMR,CMR,Africa,Cameroon,0
75,"WW1 end, The third immigration wave",1941,Aferica,50000,NAM,NAM,Africa,Namibia,0
77,"WW1 end, The third immigration wave",1942,Aferica,50000,BFA,BFA,Africa,Burkina Faso,0
79,"WW1 end, The third immigration wave",1943,Aferica,50000,GMB,GMB,Africa,Gambia,0
80,"WW1 end, The third immigration wave",1944,Aferica,50000,COM,COM,Africa,Comoros,0
81,"WW1 end, The third immigration wave",1945,Aferica,50000,TZA,TZA,Africa,United Republic of Tanzania,0
82,"WW1 end, The third immigration wave",1946,Aferica,50000,SDN,SDN,Africa,Sudan,0
83,"WW1 end, The third immigration wave",1947,Aferica,50000,REU,REU,Africa,Reunion,0
84,"WW1 end, The third immigration wave",1948,Aferica,50000,CAF,CAF,Africa,Central African Republic,0
85,"WW1 end, The third immigration wave",1949,Aferica,50000,ESH,ESH,Africa,Western Sahara,0
93,"WW1 end, The third immigration wave",1950,Aferica,50000,BWA,BWA,Africa,Botswana,0
103,"WW1 end, The third immigration wave",1951,Aferica,50000,MUS,MUS,Africa,Mauritius,0
104,"WW1 end, The third immigration wave",1952,Aferica,50000,STP,STP,Africa,Sao Tome and Principe,0
105,"WW1 end, The third immigration wave",1953,Aferica,50000,GAB,GAB,Africa,Gabon,0
106,"WW1 end, The third immigration wave",1954,Aferica,50000,TUN,TUN,Africa,Tunisia,0
107,"WW1 end, The third immigration wave",1955,Aferica,50000,NGA,NGA,Africa,Nigeria,0
109,"WW1 end, The third immigration wave",1956,Aferica,50000,MYT,MYT,Africa,Mayotte,0
110,"WW1 end, The third immigration wave",1957,Aferica,50000,SEN,SEN,Africa,Senegal,0
111,"WW1 end, The third immigration wave",1958,Aferica,50000,LSO,LSO,Africa,Lesotho,0
112,"WW1 end, The third immigration wave",1959,Aferica,50000,CIV,CIV,Africa,C̫te d'Ivoire,0
113,"WW1 end, The third immigration wave",1960,Aferica,50000,LBY,LBY,Africa,Libyan Arab Jamahiriya,0
114,"WW1 end, The third immigration wave",1961,Aferica,50000,GHA,GHA,Africa,Ghana,0
115,"WW1 end, The third immigration wave",1962,Aferica,50000,AGO,AGO,Africa,Angola,0
116,"WW1 end, The third immigration wave",1963,Aferica,50000,KEN,KEN,Africa,Kenya,0
118,"WW1 end, The third immigration wave",1941,Oceania,40000,AUS,AUS,Oceania,Australia,0
125,"WW1 end, The third immigration wave",1948,Aferica,50000,SLE,SLE,Africa,Sierra Leone,0
141,"WW1 end, The third immigration wave",1950,Aferica,50000,ZWE,ZWE,Africa,Zimbabwe,0
142,"WW1 end, The third immigration wave",1925,Aferica,50000,EGY,EGY,Africa,Egypt,0
143,"WW1 end, The third immigration wave",1927,Aferica,50000,LBR,LBR,Africa,Liberia,0
144,"WW1 end, The third immigration wave",1929,Aferica,50000,MRT,MRT,Africa,Mauritania,0
145,"WW1 end, The third immigration wave",1931,Aferica,50000,BDI,BDI,Africa,Burundi,0
146,"WW1 end, The third immigration wave",1933,Aferica,50000,MDG,MDG,Africa,Madagascar,0
